"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Agricultural water withdrawal (10^9 m3/year)","Equatorial Guinea",,,"",,,,"",,,,"",,,,"",,,,"",,1987,6.0E-4,"",,,,"",,,,"",,2000,0.001,"L",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Eritrea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.29,"L",,2004,0.55,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Estonia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.008,"",,2002,0.03,"E","[68]",2007,0.0076,"E","[69]",2012,0.0045,"E",,2014,0.005,"",
"Agricultural water withdrawal (10^9 m3/year)","Ethiopia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,5.204,"I",,2005,7.0,"I",,,,"",,2016,9.687,"K","[70]"
"Agricultural water withdrawal (10^9 m3/year)","Faroe Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Fiji",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.018,"",,,,"",,,,"",,2000,0.05,"L",,2005,0.05,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Finland",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.02,"E",,1995,0.05,"E",,2002,0.05,"E","[71]",2005,0.05,"E","[72]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","France",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,4.919,"E",,1997,3.35,"E",,2002,4.291,"E","[73]",2007,3.933,"E","[74]",2009,3.143,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Gabon",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0036,"",,,,"",,,,"",,2000,0.0403,"L","[75]",2005,0.0403,"L","[76,77]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Gambia",,,"",,,,"",,,,"",,,,"",,1982,0.0182,"",,,,"",,,,"",,,,"",,1999,0.0392,"L","[78]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Georgia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,1.055,"","[79]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Germany",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,1.6,"E",,1995,1.6,"",,2000,1.14,"E",,2007,0.1317,"E",,2010,0.2109,"E","[80]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Ghana",,,"",,,,"",,1970,0.156,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.652,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Greece",,,"",,,,"",,1970,2.425,"E","[81]",1975,3.576,"E",,,,"",,1985,4.6,"E","[82]",1992,7.9,"E","[83]",1997,7.6,"E","[84]",2002,8.42,"E","[85]",2007,8.458,"E","[86]",2011,7.918,"E","[87]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Grenada",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.0022,"L","[88]",,,"",,,,"",,,,"",,2014,0.0021,"I",
"Agricultural water withdrawal (10^9 m3/year)","Guatemala",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,1.472,"",,2006,1.886,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Guinea",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.644,"",,,,"",,,,"",,2001,0.2929,"L","[89]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Guinea-Bissau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.006,"",,1996,0.144,"",,2000,0.144,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Guyana",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1.438,"",,,,"",,2000,1.6,"L",,,,"",,2010,1.363,"L","[90]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Haiti",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.9246,"",,1995,1.169,"",,,,"",,,,"",,2009,1.209,"L","[91]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Holy See",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
