"FID";"irrigation_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"irrigation_water_withdrawal_km3";"Lebanon";"MENA";"LBN";0.171792;0.206385;0.188445;0.191345;0.202047;0.183185;0.197474;0.195891;0.251047;0.297333;0.323431;0.323341;0.312229;0.318087;0.341645;0.323155;0.348498;0.286737;0.311421;0.288695;0.391892;0.296403;0.37188;0.396068;0.364801;0.353485;0.354155;0.387423;0.318805;0.374525;0.409087;0.40813;0.408352;0.354134;0.440887;0.451208;0.405119;0.341737;0.277929;0.296326;0.297768;0.2686;0.370381;0.367245;0.413606;0.498432;0.542861;0.390569;0.403637;0.384833;0.313528;0.383075;0.339738;0.375344;0.432292;0.457659;0.27212;0.369785;0.337000034482759;0.081061966645183;0.655900533693176;0.60958503798948;0.454325468844525;2.28958385584122e-08;7.08235563908359e-07;4.71165464643875e-07;0.00314851481128303;0.430205510098998;0.430205510098998;0.1920028;0.0135027840536683;0.224986;0.0481248815582958;0.3237466;0.0110147970839231;0.3117012;0.0256796079448266;0.3642088;0.0401191746886697;0.3576786;0.026027338219649;0.404118;0.0312612918718981;0.3544638;0.0730153072286901;0.34352;0.0589548306884177;0.4440664;0.0719741191665449;0.3687954;0.0452145644322712;0.366521333333333;0.0928125464058245
"108";"irrigation_water_withdrawal_km3";"Liberia";"AFR";"LBR";0.000204541;5.97135e-05;0;0.000277084;9.15797e-05;0;0.000613942;6.38929e-06;0.00049425;0.000490084;0.000260134;0.00031331;0.000306825;0.000741647;9.81431e-05;0.000969629;0.000820756;0.00061383;0.000430689;0.000624073;0.000383372;0.00108244;0.000899426;0.000453879;0.00107364;0.00237223;0.00118465;0.00161322;0.000649882;0.00133759;0.00174553;0.00127012;0.00203086;0.000249212;0.000935254;0.000992513;0.00136595;0.00248906;0.000270474;0.00109081;0.00268909;0;0.00212882;0.00207292;0.00117601;0.00142768;0.00164923;0.00106986;0.000477319;0.00306846;0.00205482;0.000728712;0.00165933;0.00162362;0.00305092;0.0032069;0.0018622;0.00217568;0.00108669487224138;0.000860152721738603;0.702117025665183;0.718522165816816;0.548592415198688;8.1862117085052e-10;2.14529298767521e-10;1.21738819025552e-09;3.5763144108708e-05;0.492968317728922;0.492968317728922;0.00012658364;0.000112303180824378;0.000320933058;0.000294296132050927;0.00034401182;0.000238708040223328;0.0006917954;0.000207764184125417;0.0007785514;0.000337496354606683;0.0014315144;0.000632193759615515;0.0012461952;0.000699332971095457;0.0012417614;0.000806146219583519;0.001613368;0.00105217571606172;0.0015385098;0.000963204076348932;0.0018234804;0.000840466145231799;0.00241492666666667;0.000703550814179995
"109";"irrigation_water_withdrawal_km3";"Libya";"MENA";"LBY";0.662007;0.662773;0.698348;0.631089;0.625003;0.642343;0.651725;0.7153;0.73924;0.830971;0.930804;0.949578;1.06396;0.922268;0.909002;1.00628;1.02291;1.09752;0.930383;1.22138;1.10842;1.13543;1.21962;1.26777;1.21977;1.50936;1.56634;1.67771;1.5891;1.94815;2.03674;1.86974;2.40853;2.30211;2.36672;2.46204;2.36156;2.24872;2.36216;2.45401;2.51536;2.56198;2.48275;2.7037;2.55642;2.47389;2.59188;2.58835;2.49172;2.6897;2.70322;2.7577;2.97557;3.02503;3.36185;3.49107;3.38787;3.01535;1.80000506896552;0.873440762884129;0.976068797476514;0.985727029438002;0.909255898366606;0;0;0;0.0504852494386165;0.952710297407244;0.952710297407244;0.655844;0.0293962622283854;0.7159158;0.0763470894448505;0.9551224;0.0625984245392806;1.0556946;0.110023458456822;1.190202;0.0660392827792671;1.658132;0.173073708777503;2.196768;0.233120160796959;2.377698;0.0867096927684558;2.564042;0.0844763725546973;2.567108;0.0872734482531773;2.964674;0.261106671362491;3.29809666666667;0.25024351766496
"11";"irrigation_water_withdrawal_km3";"Australia";"Other";"AUS";4.17609;4.55366;4.16422;4.64598;4.46976;4.20794;4.48748;5.67834;4.96568;6.7637;4.96642;5.85982;6.00663;6.01528;7.41139;4.24897;5.18105;6.11245;6.87795;7.11262;4.79672;7.0197;6.54249;6.46821;8.20046;5.42339;7.49514;6.8293;7.31572;8.56524;6.84877;7.49927;9.1364;9.97356;7.87751;8.55648;12.8321;9.77367;10.3615;10.8561;8.0939;8.65899;9.83558;12.5846;13.2289;9.14726;11.1144;10.4323;12.4939;9.94602;11.3955;11.1821;7.10132;11.7625;13.695;12.0757;11.9535;11.8792;8.04927293103448;2.77464890406798;0.888104115549256;0.902550063059461;0.743496672716274;0;0;2.22044604925031e-16;0.145922593435663;0.788728920055526;0.788728920055526;4.401942;0.220620178859505;5.220628;1.0269631115673;6.051908;0.875609075712444;5.906608;1.19525513013749;6.605516;1.22576128721297;7.125758;1.14352319662524;8.267102;1.26695417117984;10.47597;1.57214963702569;10.480394;2.31358052379423;10.626776;1.26630825997464;11.027284;2.40987528562787;11.9694666666667;0.0992182610880336
"110";"irrigation_water_withdrawal_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"irrigation_water_withdrawal_km3";"Liechtenstein";"Other";"LIE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"112";"irrigation_water_withdrawal_km3";"Sri Lanka";"SOA";"LKA";1.44089;1.58397;1.86585;1.90769;2.52013;2.66201;2.34525;1.41701;2.40598;2.02214;2.12595;1.23256;3.23249;2.27754;2.17254;2.14242;2.84668;2.38088;2.27633;3.02508;2.73765;2.56502;2.70805;2.89258;2.28427;2.5207;5.03816;5.02237;5.45479;5.41101;5.58147;5.59418;5.2248;5.34839;5.73995;5.28013;5.46461;5.97398;5.32643;5.29477;6.22671;5.46353;5.55335;5.81227;5.66972;6.24272;5.44518;6.23201;5.47431;5.92775;5.95165;6.36166;5.95325;6.14262;6.02997;6.27044;5.31149;5.64958;4.15629155172414;1.7503618194371;0.905802889281595;0.893506413608539;0.715668481548699;0;0;1.99840144432528e-15;0.0938884465840221;0.820478874230886;0.820478874230886;1.863706;0.415288230124573;2.170478;0.478886296598681;2.208216;0.709557634396248;2.534278;0.381478184854652;2.637514;0.229182194836336;4.689406;1.22905503258804;5.497758;0.207230991335756;5.467984;0.292135707300563;5.745116;0.299245664763919;5.864394;0.390573928123729;6.08783;0.171747897658166;5.74383666666667;0.486373842875347
"113";"irrigation_water_withdrawal_km3";"Lesotho";"AFR";"LSO";0.000397292;0.000514934;0.000531124;0.000440813;0.000534252;0.00027684;0.000610059;0.000722446;0.000525586;0.000403295;0.000639658;0.000574858;0.00065605;0.000358864;0.000599934;0.00051474;0.000275705;0.000437712;0.000342145;0.000397148;0.00050074;0.000618347;0.000584346;0.000336649;0.000554592;0.000766517;0.00075973;0.000422993;0.000585393;0.00129676;0.000830577;0.000578086;0.00078671;0.000573252;0.00151343;0.000714474;0.00157969;0.00141778;0.000977963;0.0020002;0.00125302;0.00187613;0.000781576;0.00132754;0.00149057;0.00207957;0.00164166;0.00167018;0.00129533;0.00209887;0.00192595;0.0017186;0.00168494;0.00185701;0.0033061;0.00269432;0.00200605;0.0035717;0.00105915172413793;0.000755020588125467;0.820152902494631;0.840413423974899;0.644283121597096;3.33066907387547e-15;0;9.06608121908903e-13;3.66694368943981e-05;0.672650783470365;0.672650783470365;0.000483683;6.14120082394315e-05;0.0005076452;0.000174004200382347;0.0005658728;0.000120072608846481;0.00039349;9.1077088224756e-05;0.0005189348;0.000110670694105079;0.0007662786;0.000328640403860055;0.000856411;0.000385630463080914;0.0013380214;0.000505395651013936;0.0013457672;0.000396704718460973;0.001757122;0.00033723383737401;0.00209852;0.000682228804031316;0.00275735666666667;0.000784726192141777
"114";"irrigation_water_withdrawal_km3";"Lithuania";"ECA";"LTU";0;0.000102175;0;6.12966e-06;0;0.000361199;0.000494301;0;5.60619e-06;0.000106823;0.000129852;0.000438476;4.48588e-05;0.000924983;0;0.000153711;2.22479e-06;0.000721559;0.0005186;0;0;3.32659e-05;0;0;0.000544288;0.00164096;0;0;0.000334123;0;0;0;4.3075e-06;0.000624443;0.00760557;5.78342e-05;0.00301563;0.00136659;0.0011741;0.000875639;0;0.00140944;2.21558e-05;0;0.0027474;0.000174468;2.98961e-05;6.71086e-05;0.000187856;8.56668e-06;2.57e-05;0;0;1.71334e-05;0;8.56668e-06;2.5886e-05;0.000135935;0.000450816574137931;0.00114372568231906;0.0908351484237583;0.0662942158696923;0.0492126519941017;0.497692672774238;0.620998598373524;0.59868569619801;6.15214303177584e-06;0.00825102418916641;0.00825102418916641;2.1660932e-05;4.50869257134828e-05;0.000193585838;0.000222970511237756;0.00030763396;0.000385206223982697;0.000279218958;0.000325349519424693;0.00011551078;0.000240126188474814;0.0003950166;0.000711371444702274;0.0016468641;0.00334192443886607;0.00129795864;0.0010824403715976;0.00083579916;0.00122906647234701;9.3579076e-05;8.27865801780752e-05;8.56668e-06;1.21151079694735e-05;5.67958933333333e-05;6.90813894208428e-05
"115";"irrigation_water_withdrawal_km3";"Luxembourg";"Other";"LUX";0;4.06499e-05;0;9.34748e-06;3.67774e-05;2.6719e-05;9.72473e-05;0;0;0;0;0;3.33357e-06;4.86694e-05;0;5.05327e-05;0;7.92337e-05;0.000191994;0;0;2.70479e-05;0;0;3.16362e-05;6.71053e-05;2.59695e-05;0;3.91863e-06;0;0;8.1515e-06;4.48116e-05;0.000126904;5.02035e-06;6.15416e-06;8.33212e-05;0.000226258;0.000127767;2.83038e-05;0.000212055;0.000213276;0;3.92543e-05;0;0.00063979;0;2.39779e-05;0.000312564;0;0;0;0;0;0;0;0;0;4.89274274137931e-05;0.000104505187245698;0.174019992873;-0.0406496683699242;-0.00482177033636613;0.191402787968371;0.76191672140685;0.960184921303735;1.0769303457504e-06;0.0302829579195191;0.0302829579195191;1.7354956e-05;1.99147835433298e-05;2.479326e-05;4.21230744697962e-05;1.0400594e-05;2.14415566572294e-05;6.435208e-05;7.90368237268996e-05;1.173682e-05;1.61529666492567e-05;1.9398686e-05;2.87721514088881e-05;3.697749e-05;5.33096655012766e-05;9.4360832e-05;8.77192352388068e-05;9.291706e-05;0.00011048413356029;0.00019526638;0.000281494956479192;0;0;0;0
