"FID";"livestock_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"62";"livestock_water_withdrawal_km3";"France";"Other";"FRA";0.0441664;0.0440836;0.0443691;0.0463424;0.0486226;0.0482527;0.0476754;0.0480641;0.0485335;0.0493794;0.0512357;0.0511698;0.0512407;0.0514167;0.0517361;0.0528119;0.0556114;0.056202;0.0556977;0.0561721;0.0557825;0.0560357;0.056405;0.0556763;0.0556531;0.0559206;0.0566753;0.0551277;0.0550851;0.0521349;0.0511003;0.0496847;0.0491841;0.0500017;0.0496712;0.0480429;0.0480734;0.0483447;0.048734;0.0485089;0.0473161;0.048085;0.0480425;0.0480629;0.0470469;0.0449689;0.0451962;0.0442226;0.0451793;0.0451866;0.0459015;0.0446335;0.0446476;0.0438155;0.0439103;0.0448315;0.0448652;0.04406;0.0494585775862069;0.00417281024070439;-0.410583663890951;-0.436402227075579;-0.334543254688445;0.00136819111653231;0.000691785567059567;0.000207655656609262;-0.000101456744286194;0.168578945054109;0.168578945054109;0.04551682;0.00196992808802758;0.04838102;0.000639299747379896;0.0513598;0.000229414973356143;0.05529902;0.0014159744408004;0.05591052;0.000315314798257234;0.05498872;0.00172379273464068;0.0499284;0.000717329512846084;0.04834078;0.000292884886943659;0.04771068;0.000492589120870528;0.04495072;0.000417922800287325;0.04458168;0.000834676357638096;0.0445855666666667;0.000455465875048102
"63";"livestock_water_withdrawal_km3";"Faroe Islands (Den.)";"Other";"FRO";0;0;0;8.64109e-11;8.43033e-11;8.43033e-11;9.65804e-11;1.01585e-10;1.09552e-10;1.1657e-10;1.13593e-10;1.05379e-10;1.05379e-10;1.02481e-10;9.11385e-11;8.95722e-11;8.69376e-11;8.57629e-11;1.26273e-10;1.26065e-10;1.26455e-10;1.31724e-10;1.37368e-10;1.42262e-10;1.42262e-10;1.41735e-10;1.42652e-10;1.46477e-10;1.49111e-10;1.50165e-10;1.58502e-10;1.58069e-10;1.60176e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.20490362068966e-11;6.31679006951349e-11;-0.55561603642445;-0.494939523329612;-0.235855562694907;5.97308477063988e-06;7.82985202464741e-05;0.0147194380387518;-2.07836507736314e-12;0.308709179932006;0.308709179932006;3.414284e-11;4.67579469538922e-11;1.0171814e-10;1.23656566622238e-11;1.035941e-10;8.10448487258753e-12;1.0292214e-10;2.12662912029343e-11;1.360142e-10;6.88634345643608e-12;1.46028e-10;3.76325935858797e-12;9.53494e-11;8.70452516499321e-11;0;0;0;0;0;0;0;0;0;0
"64";"livestock_water_withdrawal_km3";"Micronesia, Federated States of";"EAP";"FSM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";"livestock_water_withdrawal_km3";"Gabon";"AFR";"GAB";5.30328e-07;5.30325e-07;5.32063e-07;5.35516e-07;5.40435e-07;5.65216e-07;5.88024e-07;6.03565e-07;6.55807e-07;6.7742e-07;6.97142e-07;6.64567e-07;6.86408e-07;7.00172e-07;7.34737e-07;7.09812e-07;7.43329e-07;7.75318e-07;9.67572e-07;1.10123e-06;1.22915e-06;1.22084e-06;1.22465e-06;1.19015e-06;1.18778e-06;1.22403e-06;1.33355e-06;1.42354e-06;1.54384e-06;1.59725e-06;1.68773e-06;1.77417e-06;1.87544e-06;1.90997e-06;1.96026e-06;1.99567e-06;2.0229e-06;2.04126e-06;2.10157e-06;2.15431e-06;2.20356e-06;2.24045e-06;2.3251e-06;2.35723e-06;2.33645e-06;2.33441e-06;2.34606e-06;2.36249e-06;2.38902e-06;2.4146e-06;2.44917e-06;2.44335e-06;2.45737e-06;2.45737e-06;2.46568e-06;2.45737e-06;2.45737e-06;2.45737e-06;1.53778389655172e-06;7.36290100266638e-07;0.980484018440799;0.996553787292129;0.967844260357176;0;3.0255293235841e-62;0;4.27503919529972e-08;0.961348910417814;0.961348910417814;5.337334e-07;4.30387270954892e-09;6.180064e-07;4.70456849806653e-08;6.966052e-07;2.5482707542567e-08;8.594522e-07;1.68153015412154e-07;1.210514e-06;1.99077906860606e-08;1.424442e-06;1.52106563204879e-07;1.841514e-06;1.09684254704128e-07;2.063142e-06;6.41073838960849e-08;2.292558e-06;6.67155242053901e-08;2.369316e-06;3.25758841783305e-08;2.454588e-06;8.57553030430183e-09;2.45737e-06;0
"66";"livestock_water_withdrawal_km3";"United Kingdom";"Other";"GBR";0.0432486;0.0429444;0.0433502;0.0436365;0.0440667;0.0437796;0.0440918;0.0446752;0.045039;0.0441791;0.0432168;0.0419454;0.0418019;0.0419635;0.0435621;0.0458155;0.0472859;0.046361;0.0449621;0.0368454;0.0371021;0.0383592;0.0381154;0.0375738;0.0384081;0.039158;0.0394154;0.0397329;0.0521705;0.0535543;0.0556008;0.0568925;0.057823;0.0577722;0.0589881;0.0586261;0.0581702;0.0569869;0.0561973;0.0566505;0.058301;0.058384;0.0559826;0.0497961;0.0485443;0.0482826;0.0489589;0.048253;0.0476092;0.0467478;0.0457851;0.044161;0.0432418;0.0430573;0.0434614;0.0431489;0.0432941;0.0431706;0.0469008224137931;0.0066292701642709;0.330983728402935;0.320249776984835;0.169993950393224;0.0111553000566864;0.0145979025899635;0.0594373926722929;0.000129934052108646;0.109550228467508;0.109550228467508;0.04344928;0.000424632755448753;0.04435294;0.000500415585288868;0.04249794;0.000825317280201983;0.04425398;0.00422666855892439;0.03791172;0.000560756513114205;0.04480622;0.00737332063706713;0.05741532;0.00125827529062602;0.0573262;0.0010305564273731;0.0542016;0.00471388864579977;0.0479703;0.000833618617834319;0.04394132;0.00111230917329671;0.0432045333333333;7.83221765104467e-05
"67";"livestock_water_withdrawal_km3";"Georgia";"ECA";"GEO";0.009914;0.00984741;0.00996478;0.0104353;0.0113609;0.0121285;0.0126723;0.0125161;0.0133867;0.013692;0.0141494;0.0137391;0.013719;0.0142698;0.0145003;0.0144769;0.014232;0.0145113;0.0151775;0.0151538;0.0152953;0.0151467;0.0157347;0.0156348;0.0155333;0.0154268;0.0158982;0.0155184;0.0157526;0.0163706;0.0160263;0.0161295;0.0159401;0.0151733;0.000367598;0.000341198;0.000305332;0.000285772;0.000277165;0.000261283;0.00024736;0.000242788;0.00024375;0.000253675;0.000260513;0.000260541;0.000264255;0.00024374;0.00023918;0.000227374;0.000225117;0.000226543;0.000222972;0.00021112;0.000198425;0.000208657;0.000204307;0.000211171;0.00836995734482759;0.00703537359253188;-0.750092757180086;-0.601525731335938;-0.338173018753781;1.22649533651916e-11;1.05091030365097e-06;0.000177000975414866;-0.000312501968008854;0.562639144374016;0.562639144374016;0.010304478;0.000634413271078089;0.01287912;0.000643505976662221;0.01407552;0.000340560548214264;0.0147103;0.000429480948355105;0.01546896;0.000243037853018825;0.01579332;0.000372769381789867;0.0127273596;0.00691963870427935;0.00029415;3.07305720171298e-05;0.0002496172;7.43876936730801e-06;0.000247018;1.53138169801e-05;0.0002168354;1.19591897844294e-05;0.000208045;3.47268368844615e-06
"68";"livestock_water_withdrawal_km3";"Ghana";"AFR";"GHA";0.000130556;0.000130556;0.000130992;0.000142391;0.000154148;0.000163652;0.000190381;0.000203245;0.000206574;0.000220114;0.000230326;0.000241378;0.000244579;0.000244895;0.000266129;0.00025166;0.000277981;0.000279036;0.000282861;0.000282801;0.000285477;0.000279189;0.000286484;0.000292791;0.000298417;0.000300275;0.000302871;0.000314625;0.000307637;0.000332631;0.000338265;0.00035966;0.000349979;0.000359551;0.000352924;0.000357709;0.000362594;0.000356729;0.000389853;0.00040646;0.000416282;0.000434649;0.000449823;0.000457967;0.000471112;0.000492793;0.000505699;0.000514276;0.000526094;0.000536421;0.00054657;0.000591184;0.000611396;0.000611395;0.000613531;0.000611538;0.000611637;0.000611472;0.000353831293103448;0.000142300722587211;0.978228019956762;0.997216112826936;0.973071148929494;0;7.74860538848193e-65;0;8.24323771878549e-06;0.956930059028526;0.956930059028526;0.0001377286;1.04834253848635e-05;0.0001967932;2.1334273662349e-05;0.0002454614;1.2980789818035e-05;0.0002748678;1.31576479167061e-05;0.0002884716;7.35956933522607e-06;0.0003116078;1.29577169748378e-05;0.0003520758;8.79279413497212e-06;0.000374669;2.23411747788696e-05;0.0004459666;2.12157730780662e-05;0.0005150566;1.70448209524184e-05;0.0005948152;2.84643584276899e-05;0.000611549;8.30481787880293e-08
"69";"livestock_water_withdrawal_km3";"Gibraltar (U.K.)";"Other";"GIB";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"livestock_water_withdrawal_km3";"Argentina";"LCR";"ARG";0.193045;0.194087;0.192679;0.19415;0.191368;0.182088;0.193213;0.208316;0.220778;0.228874;0.231532;0.216624;0.215209;0.219643;0.234524;0.247773;0.246201;0.253537;0.25968;0.273561;0.259679;0.254791;0.250601;0.246257;0.239325;0.242765;0.248742;0.243548;0.236185;0.23012;0.230175;0.232873;0.236351;0.23554;0.239712;0.232728;0.234831;0.229009;0.223236;0.22252;0.215353;0.220846;0.22077;0.219821;0.233219;0.24771;0.252479;0.250538;0.254619;0.258577;0.250571;0.230708;0.215256;0.213329;0.215287;0.211319;0.217315;0.216653;0.229486896551724;0.0204138192526616;0.282450412572489;0.200159955704574;0.088929219600726;0.0316976001531923;0.131742557867795;0.324096834946032;0.000341442123719591;0.0797782355623727;0.0797782355623727;0.1930658;0.00114574329585645;0.2066538;0.0192362084153817;0.2235064;0.00890137491065284;0.2561504;0.0110858955344167;0.2501306;0.0078242941406877;0.240272;0.00721898188805042;0.2349302;0.00360902129392444;0.2284648;0.00551544483246819;0.2220018;0.0066641055438821;0.2527846;0.0041173137237767;0.2250302;0.0159056035000248;0.215095666666667;0.00328739552432216
"70";"livestock_water_withdrawal_km3";"Guinea";"AFR";"GIN";0.000323182;0.000323179;0.000324155;0.000335478;0.000347691;0.000358956;0.000372448;0.000384374;0.000395765;0.000383805;0.000384353;0.000373837;0.000373387;0.00037405;0.000375684;0.000389213;0.000400275;0.000414874;0.000420408;0.000419887;0.000421983;0.000424266;0.000431236;0.000432978;0.000434718;0.000429275;0.000426227;0.000370871;0.000274737;0.000329366;0.000378029;0.000410703;0.000421095;0.000453162;0.0004893;0.000525693;0.000567832;0.000612673;0.000645049;0.000675545;0.000709628;0.000745522;0.000795976;0.000836525;0.000881628;0.000929502;0.000982869;0.00103363;0.00109051;0.00115043;0.00121922;0.00128394;0.00135367;0.00135363;0.00135787;0.00135363;0.00135361;0.00135358;0.000627846706896552;0.000351886612489996;0.870571111141753;0.90933140573993;0.818154349099923;0;5.48403745818019e-23;0;1.81408493340304e-05;0.757894059554582;0.757894059554582;0.000330737;1.08101724084309e-05;0.0003790696;1.39436324643186e-05;0.0003762622;4.60536531667141e-06;0.0004089314;1.37003701884292e-05;0.0004290362;5.59379559869682e-06;0.0003660952;6.58135312925845e-05;0.0004304578;4.24398940114134e-05;0.0006053584;5.98118144165515e-05;0.0007938558;6.88469198381453e-05;0.0010373882;8.69285246176421e-05;0.001313666;6.11455577290779e-05;0.00135360666666667;2.51661147842013e-08
