"FID";"evaporation_from_irrigation_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"107";"evaporation_from_irrigation_km3";"Lebanon";"MENA";"LBN";0.327956;0.377617;0.381974;0.378761;0.395083;0.471517;0.408095;0.479983;0.518289;0.593897;0.586344;0.622969;0.59751;0.631355;0.685706;0.677513;0.673669;0.598975;0.682645;0.677109;0.7274;0.663341;0.701603;0.723367;0.683468;0.708328;0.721045;0.690079;0.665416;0.72185;0.736218;0.716523;0.705823;0.754689;0.765635;0.808812;0.834793;0.784316;0.760605;0.814919;0.735372;0.681366;0.811744;0.804806;0.913098;0.940971;0.916578;0.828086;0.880038;0.829204;0.687409;0.814406;0.643557;0.927709;0.898;0.867514;0.749829;0.838443;0.693505637931034;0.149859091682902;0.857325970598853;0.866129379556431;0.726557773744707;0;0;8.88178419700125e-16;0.00760816103232949;0.735007819863274;0.735007819863274;0.3722782;0.025734482386479;0.4943562;0.0682831647274788;0.6247768;0.03866350594165;0.6619822;0.0353675899546463;0.6998358;0.0270018554677267;0.7013436;0.0238491252523022;0.7357776;0.025086435673487;0.800689;0.0287504827350777;0.7892772;0.0875044126270212;0.8789754;0.0508071411201221;0.7942162;0.125603548252826;0.818595333333333;0.0613016085460515
"108";"evaporation_from_irrigation_km3";"Liberia";"AFR";"LBR";0.0054278;0.00547877;0.00562309;0.00541448;0.00548602;0.00568491;0.00526721;0.00562252;0.00528202;0.00520136;0.00536921;0.00538136;0.0116795;0.0116491;0.0120241;0.0120643;0.0119779;0.0118352;0.0118521;0.011443;0.0118869;0.0117895;0.0113048;0.0116563;0.0116203;0.0115438;0.0117584;0.0115407;0.0119552;0.0116961;0.0118385;0.0118691;0.0179935;0.01807;0.0180293;0.0181449;0.0179785;0.0180951;0.0185498;0.0180016;0.0181239;0.0191604;0.0178491;0.0182309;0.0183069;0.0181608;0.0180904;0.0182642;0.0181684;0.0181178;0.0185906;0.0178572;0.0181979;0.0196994;0.0195355;0.0201748;0.0192992;0.0193784;0.0134533112068966;0.00511878530298786;0.935235283525795;0.906671998523486;0.713248638838476;0;0;2.66453525910038e-15;0.000283490439878185;0.874665035551574;0.874665035551574;0.005486032;8.26865870017622e-05;0.005411604;0.000224179564479013;0.009220654;0.00351341651406149;0.0118345;0.000238198499155641;0.01165156;0.000221164255701503;0.01169884;0.000171989107213219;0.01556008;0.0033834808174423;0.01815398;0.00023142799528147;0.01833424;0.000493348434678778;0.01816032;6.62444865630347e-05;0.01877612;0.000812753644716528;0.0196174666666667;0.000484286581822513
"109";"evaporation_from_irrigation_km3";"Libya";"MENA";"LBY";0.829756;0.856063;0.863605;0.854548;0.857241;0.866418;0.844499;0.917641;1.02653;1.18362;1.19542;1.19919;1.21973;1.2792;1.31514;1.3765;1.42617;1.45323;1.50613;1.50237;1.58488;1.59513;1.59561;1.63564;1.67596;2.09954;2.14464;2.13366;2.0672;2.58392;2.60797;2.52031;3.08224;3.03358;3.14738;3.13057;3.17497;3.26421;3.24215;3.13123;3.1351;3.28499;3.18165;3.26591;3.28303;3.28033;3.30701;3.28356;3.30709;3.35542;3.40919;3.37782;3.42491;3.88981;4.04982;4.15043;4.17781;4.0093;2.33098225862069;1.07327306647409;0.977618245420006;0.994216986065397;0.952813067150635;0;0;0;0.0621341196899314;0.955737433778089;0.955737433778089;0.8522426;0.0130350071077848;0.9677416;0.139664634082147;1.241736;0.0529889057256328;1.45288;0.0543881273808907;1.617444;0.0380469082843796;2.205792;0.213553627269592;2.878296;0.291265599290407;3.188626;0.0621068553381991;3.230136;0.0679508077950513;3.306682;0.0300196663872202;3.63031;0.315500913073164;4.11251333333333;0.0904276519286738
"11";"evaporation_from_irrigation_km3";"Australia";"Other";"AUS";8.75676;8.90172;8.57785;8.82834;9.01967;9.25663;10.0043;10.6628;11.2578;11.2942;10.7604;12.8296;12.9616;13.0295;12.8596;12.8192;13.0726;13.0753;13.1369;12.7055;12.4585;13.5497;12.9525;14.735;13.5112;13.3612;15.1071;14.799;15.5557;16.4583;16.44;16.5412;16.4564;17.482;17.9267;18.9144;21.3761;20.8478;21.6891;20.3852;19.7898;20.115;21.3612;22.8506;21.5488;19.7617;21.2676;21.7014;21.2772;20.865;22.0743;20.9524;22.8635;25.9043;25.0402;23.1365;23.0868;23.465;16.4037701724138;4.93490821007492;0.974280160004777;0.972130794549202;0.871748336358137;0;0;0;0.284717104494138;0.949221830178933;0.949221830178933;8.816868;0.165229155931996;10.495146;0.869351476722735;12.48814;0.969135954342836;12.9619;0.188310448462107;13.44138;0.850752241842476;15.05626;1.13546821752086;16.96926;0.69028446165331;20.64252;1.08722370145247;21.13308;1.22633853890351;20.97458;0.739728424491042;23.36694;2.0610900157441;23.2294333333333;0.205514630460542
"110";"evaporation_from_irrigation_km3";"Saint Lucia";"LCR";"LCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"evaporation_from_irrigation_km3";"Liechtenstein";"Other";"LIE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"112";"evaporation_from_irrigation_km3";"Sri Lanka";"SOA";"LKA";2.58799;2.60566;2.66574;2.69539;2.92082;3.21268;3.14345;2.73693;3.14179;3.18555;3.14298;3.02466;3.75434;3.58527;3.35184;3.49755;3.77537;3.42735;3.05614;3.4379;3.1465;3.39895;3.48348;4.22957;3.43539;3.6404;4.20536;4.15627;4.16921;4.13884;4.57938;4.48425;4.43966;4.37107;4.44988;4.45199;4.48619;4.82084;4.73226;4.74188;4.71331;4.61693;4.75306;4.73063;4.60489;4.95457;4.75758;4.71502;4.66538;4.81458;4.95298;4.9424;4.75655;5.06541;5.18352;5.20166;4.95077;5.42655;4.03994068965517;0.806114229509106;0.955777645558766;0.95871912393491;0.826981246218996;0;0;0;0.045625125965117;0.91351090774986;0.91351090774986;2.69512;0.133495014700924;3.08408;0.196343120836967;3.371818;0.302146266103025;3.438862;0.256559689097878;3.538778;0.407545835912968;4.062016;0.23695139318012;4.464848;0.0760703724849563;4.646632;0.166117358123707;4.683764;0.0681161051440845;4.781426;0.111268925491352;4.980172;0.158736301361724;5.19299333333333;0.238008372611833
"113";"evaporation_from_irrigation_km3";"Lesotho";"AFR";"LSO";0.00179802;0.00175842;0.00188077;0.00183521;0.0017179;0.00176905;0.00185669;0.00162444;0.00150224;0.0017123;0.00167955;0.00168333;0.00174506;0.00175378;0.0016803;0.00170909;0.00172544;0.00181853;0.0018214;0.00167053;0.00184973;0.00199459;0.00172856;0.0019199;0.00185207;0.00181418;0.00196764;0.0014156;0.00179086;0.00405383;0.00414943;0.00392963;0.00372101;0.00398867;0.00350661;0.00360772;0.00504236;0.00562994;0.00642084;0.00657014;0.00627031;0.00599899;0.00612911;0.00621305;0.00622992;0.00555153;0.00655368;0.00591683;0.00659725;0.00605278;0.00672913;0.00694078;0.00688354;0.00759873;0.00772266;0.00685544;0.00684046;0.00696657;0.00378872620689655;0.00222922641994287;0.917694397764848;0.877510843151127;0.699939503932244;0;0;8.43769498715119e-15;0.000121144271432525;0.842163007688981;0.842163007688981;0.001798064;6.36750016097369e-05;0.001692944;0.000136051777018898;0.001708404;3.7595669032483e-05;0.001748998;6.77893861161171e-05;0.00186897;9.84187545643614e-05;0.002208422;0.00105141073801821;0.00385907;0.000249686012023101;0.0054542;0.00120308978226897;0.006168276;0.000107711833518885;0.006134414;0.000442651614173043;0.007174968;0.000452240693735095;0.00688749;6.88936491993277e-05
"114";"evaporation_from_irrigation_km3";"Lithuania";"ECA";"LTU";0.00357122;0.00374176;0.00375608;0.00351957;0.00361202;0.00409903;0.0039691;0.00406273;0.00420368;0.00433469;0.00462383;0.00474053;0.00476588;0.00556404;0.00681361;0.00713427;0.007799;0.00886534;0.00867676;0.00918595;0.00968954;0.0103797;0.010198;0.0118231;0.0123826;0.0136352;0.0132087;0.0134791;0.0138311;0.0138404;0.0141701;0.014849;0.0143123;0.0143278;0.0343326;0.0261404;0.0232499;0.0182412;0.017068;0.0154568;0.0146082;0.01264;0.0117427;0.0134152;0.0136771;0.0131401;0.00963082;0.00621371;0.00167136;0.000571189;0.00054516;0.000555469;0.000610448;0.00060803;0.000600086;0.000623064;0.000613178;0.000621936;0.00903004103448276;0.00691437703851287;0.0691784267032551;0.0289458303854317;0.188142770719903;0.605856319595502;0.828870308087481;0.0369619931226757;2.83252896121085e-05;0.00478565472113809;0.00478565472113809;0.00364013;0.000104697818983969;0.004133846;0.000140201625989145;0.005301578;0.000924150505529267;0.008332264;0.000844272974238782;0.010894588;0.00114878190084977;0.0135989;0.000264653008673621;0.01839836;0.00891124975034366;0.02003126;0.00448865636666475;0.01321664;0.00108315529034391;0.0062454358;0.0052942769409574;0.0005838386;3.10569247962511e-05;0.000619392666666667;5.41153003625899e-06
"115";"evaporation_from_irrigation_km3";"Luxembourg";"Other";"LUX";0.000640552;0.000622277;0.000621042;0.000658064;0.00056469;0.000590123;0.000608239;0.000620223;0.000671851;0.000668002;0.00062904;0.000628106;0.000626077;0.000675973;0.000696822;0.000678504;0.000673239;0.000637174;0.000669398;0.000646059;0.000604291;0.00059718;0.000642134;0.000636786;0.00065294;0.000660365;0.000620496;0.000665657;0.000669146;0.000675649;0.000678099;0.000702812;0.000756262;0.000665055;0.000732346;0.000703367;0.000698757;0.00155973;0.00136298;0.0025976;0.00380904;0.00417346;0.00432648;0.00403784;0.00405461;0.00478509;0.00418937;0.00428253;0.00456171;0.00467155;0;0;0;0;0;0;0;0;0.00125170322413793;0.00145603729254378;0.357399002491205;0.175162619228068;0.2568733126249;0.00588309584004887;0.188458314796762;0.00468072835528721;3.0816013442431e-05;0.127734046981707;0.127734046981707;0.000621325;3.50996483885523e-05;0.0006316876;3.65401293621136e-05;0.0006512036;3.29796600695035e-05;0.0006608748;1.81489870433586e-05;0.0006266662;2.45054143037819e-05;0.0006582626;2.18297309488688e-05;0.0007069148;3.76872598990693e-05;0.0013844868;0.000780539220373775;0.004080286;0.000190609674675762;0.00449805;0.000254105794896535;0;0;0;0
